place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-STATE-20,state,Jharkhand,,20,Jharkhand,,,,,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-DIST-346,district,Garhwa,JH-STATE-20,20,Jharkhand,346,Garhwa,,,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-SUBD-00000,subdistrict,Garhwa,JH-DIST-346,20,Jharkhand,346,,00000,Garhwa,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-000000,village,Garhwa,JH-SUBD-00000,20,Jharkhand,346,,00000,,,,,,000000,Garhwa,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-SUBD-02495,subdistrict,Kharaundhi,JH-DIST-346,20,Jharkhand,346,,02495,Kharaundhi,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347134,village,Khokha,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347134,Khokha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347135,village,Chandna,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347135,Chandna,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347136,village,Pipra,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347136,Pipra,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347137,village,Husru,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347137,Husru,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347138,village,Bhaluhi Alias Kariwadih,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347138,Bhaluhi Alias Kariwadih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347139,village,Sundi,JH-SUBD-02495,20,Jharkhand,346,,02495,,,,,,347139,Sundi,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
