place_id,place_type,name,parent_place_id,state_code,state_name,division_name,district_code,district_name,subdivision_name,source_id,quality_class,record_status
JH-STATE-20,state,Jharkhand,,20,Jharkhand,,,,,JH_STATE_PROFILE,A,verified_current
JH-DIV-PALAMU,division,Palamu,JH-STATE-20,20,Jharkhand,Palamu,,,,JH_STATE_PROFILE,A,verified_current
JH-DIV-NORTH-CHOTANAGPUR,division,North Chotanagpur,JH-STATE-20,20,Jharkhand,North Chotanagpur,,,,JH_STATE_PROFILE,A,verified_current
JH-DIV-SOUTH-CHOTANAGPUR,division,South Chotanagpur,JH-STATE-20,20,Jharkhand,South Chotanagpur,,,,JH_STATE_PROFILE,A,verified_current
JH-DIV-KOLHAN,division,Kolhan,JH-STATE-20,20,Jharkhand,Kolhan,,,,JH_STATE_PROFILE,A,verified_current
JH-DIV-SANTHAL-PARGANA,division,Santhal Pargana,JH-STATE-20,20,Jharkhand,Santhal Pargana,,,,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-350-DEOGHAR,subdivision,Deoghar,JH-DIST-350,20,Jharkhand,Santhal Pargana,350,Deoghar,Deoghar,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-350-MADHUPUR,subdivision,Madhupur,JH-DIST-350,20,Jharkhand,Santhal Pargana,350,Deoghar,Madhupur,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-354-DUMKA,subdivision,Dumka,JH-DIST-354,20,Jharkhand,Santhal Pargana,354,Dumka,Dumka,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-355-BERMO,subdivision,Bermo,JH-DIST-355,20,Jharkhand,North Chotanagpur,355,Bokaro,Bermo,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-355-CHAS,subdivision,Chas,JH-DIST-355,20,Jharkhand,North Chotanagpur,355,Bokaro,Chas,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-349-GIRIDIH,subdivision,Giridih,JH-DIST-349,20,Jharkhand,North Chotanagpur,349,Giridih,Giridih,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-349-DUMRI,subdivision,Dumri,JH-DIST-349,20,Jharkhand,North Chotanagpur,349,Giridih,Dumri,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-349-KHORIMAHUA,subdivision,Khorimahua,JH-DIST-349,20,Jharkhand,North Chotanagpur,349,Giridih,Khorimahua,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-349-SARIA,subdivision,Saria,JH-DIST-349,20,Jharkhand,North Chotanagpur,349,Giridih,Saria,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-348-KODERMA,subdivision,Koderma,JH-DIST-348,20,Jharkhand,North Chotanagpur,348,Kodarma,Koderma,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-351-GODDA,subdivision,Godda,JH-DIST-351,20,Jharkhand,Santhal Pargana,351,Godda,Godda,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-351-MAHGAMA,subdivision,Mahgama,JH-DIST-351,20,Jharkhand,Santhal Pargana,351,Godda,Mahgama,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-347-CHATRA,subdivision,Chatra,JH-DIST-347,20,Jharkhand,North Chotanagpur,347,Chatra,Chatra,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-347-SIMARIYA,subdivision,Simariya,JH-DIST-347,20,Jharkhand,North Chotanagpur,347,Chatra,Simariya,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-356-DHANBAD,subdivision,Dhanbad,JH-DIST-356,20,Jharkhand,North Chotanagpur,356,Dhanbad,Dhanbad,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-346-GARHWA,subdivision,Garhwa,JH-DIST-346,20,Jharkhand,Palamu,346,Garhwa,Garhwa,JH_STATE_PROFILE,A,verified_current
