district,subdivision,block,panchayat_count,village_count,source_id,as_of,observation_type,quality_class
Hazaribagh,Hazaribagh,Barkagaon,23,86,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Bishungarh,24,102,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Churchu,8,40,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Dadi,14,31,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Daru,9,53,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Hazaribagh,25,86,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Ichak,19,98,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Katamdag,13,48,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Katkamsandi,18,85,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Keredari,16,76,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Hazaribagh,Tatijhariya,8,60,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Barhi,Barhi,20,125,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Barhi,Barkatha,17,84,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Barhi,Chalkusa,9,40,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Barhi,Chauparan,26,267,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Hazaribagh,Barhi,Padma,8,43,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Baghmara,61,227,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Baliapur,23,66,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Dhanbad,12,85,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Egarkund,20,38,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Govindpur,39,225,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Kaliasol,20,96,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Nirsa,27,119,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Purbi Tundi,9,92,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Topchanchi,28,126,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Dhanbad,Dhanbad,Tundi,17,296,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Giridih,Bengabad,25,240,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Giridih,Gandey,26,251,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Giridih,Giridih,40,216,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Khorimahua,Deori,27,283,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Khorimahua,Dhanwar,37,265,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Khorimahua,Gawan,17,155,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Khorimahua,Jamua,42,291,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Khorimahua,Tisri,17,205,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Dumri,Dumri,35,182,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Dumri,Pirtand,17,177,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Sariya,Bagodar,20,68,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Sariya,Birni,28,174,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Giridih,Sariya,Sariya,22,69,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Koderma,Koderma,Chandwara,15,90,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Koderma,Koderma,Domchanch,21,133,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Koderma,Koderma,Jaynagar,23,136,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
Koderma,Koderma,Koderma,18,98,JH_AH_NORTH_ADMIN,2026-09-05,observed_source_snapshot,A
