blockCode,blockNameEnglish,blockNameLocal
6626,Chandrapura,
3064,Bermo,
3066,Chas,
3070,Nawadih,
3065,Chandankiyari,
3067,Gomia,
3068,Jaridih,
3069,Kasmar,
3071,Peterwar,
6691,Mayurhand,
3075,Itkhori,
3076,Kunda,
3072,Chatra,
3073,Giddhor,
3074,Shaligram Ram Narayanpur Alias Hunterganj,
3077,Lawalong,
3078,Pathalgada,
3079,Pratappur,
3080,Simaria,
3081,Tandwa,
6690,Kanhachatti,
3082,Deoghar,
3083,Devipur,
3084,Karown,
3085,Madhupur,
3086,Mohanpur,
3087,Palojori,
3088,Sarath,
3089,Sarwan,
6623,Sonaraithari,
6624,Margomunda,
7111,Kaliasol,
3090,Baghmara,
3091,Baliapur,
3092,Dhanbad,
3093,Govindpur,
3095,Nirsa,
3096,Topchanchi,
3097,Tundi,
6642,Purvi Tundi,
7112,Egarkund,
3098,Dumka,
3099,Gopikander,
3100,Jama,
3101,Jarmundi,
3102,Kathikund,
3103,Masaliya,
3104,Ramgarh,
3105,Ranishwar,
3106,Saraiyahat,
3107,Sikaripara,
3108,Bahragora,
3109,Chakulia,
3110,Dhalbhumgarh,
3111,Dumaria,
3112,Ghatshila,
3113,Golmuri Cum Jugsalai,
3114,Musabani,
3115,Patamda,
3116,Potka,
6632,Boram,
6633,Gurabanda,
3117,Bhandaria,
3118,Bhawnathpur,
3123,Kandi,
7366,Bargad,
3119,Chinia,
3120,Dandai,
3121,Dhurki,
3122,Garhwa,
3124,Kharaundhi,
3125,Manjhiaon,
3126,Meral,
3127,Nagar Untari,
3128,Ramkanda,
3129,Ramna,
3130,Ranka,
6627,Ketar,
6628,Danda,
6629,Bishunpura,
6630,Bardiha,
6631,Sagma,
3131,Bagodar,
3132,Bengabad,
3133,Birni,
3134,Deori,
3135,Dhanwar,
3136,Dumri,
3137,Gandey,
3138,Gawan,
3139,Giridih,
3140,Jamua,
3141,Pirtand,
3142,Tisri,
6643,Suriya,
3143,Boarijor,
3144,Godda,
3145,Mahagama,
3146,Meharma,
3147,Pathargama,
3148,Poraiyahat,
3149,Sundarpahari,
3150,Thakurgangti,
6641,Basantray,
3151,Basia,
3152,Bharno,
3153,Bishunpur,
3154,Chainpur,
3155,Dumri,
3156,Ghaghra,
3157,Gumla,
3158,Kamdara,
3159,Palkot,
3160,Raidih,
3161,Sisai,
6625,Albert Ekka,
3162,Barhi,
3163,Barkagaon,
3164,Barkatha,
3165,Bishnugarh,
3166,Chouparan,
3167,Churchu,
3169,Ichak,
3170,Katkamsandi,
3171,Keredari,
3173,Padma,
3176,Sadar,
6707,Daru,
6708,Katkamdag,
6709,Dadi,
6710,Tatijhariya,
6711,Chalkusha,
3179,Nala,
3180,Narayanpur,
3178,Kundhit,
3177,Jamtara,
6653,Fatehpur,
6654,Karmatanr Vidyasagar,
3218,Arki,
3224,Karra,
3225,Khunti,
3228,Murhu,
3231,Rania,
3236,Torpa,
3181,Chandwara,
3182,Jainagar,
3183,Koderma,
3184,Markacho,
3185,Satgawan,
6651,Domchanch,
7365,Saryu,सरयू
3189,Garu,
3187,Barwadih,
3186,Balumath,
3188,Chandwa,
3190,Latehar,
3191,Mahuadanr,
3192,Manika,
6634,Bariyatu,
6635,Herhanj,
3193,Bhandra,
3194,Kisko,
3195,Kuru,
3196,Lohardaga,
3197,Senha,
6698,Kairo,
6699,Peshrar,
3198,Amrapara,
3199,Hiranpur,
3200,Littipara,
3201,Maheshpur,
3202,Pakur,
3203,Pakuria,
7367,Ramgarh,
3205,Chainpur,
3204,Bishrampur,
3206,Chhatarpur,
3207,Medininagar,
3208,Haidernagar,
3209,Hariharganj,
3210,Hussainabad,
3211,Lesliganj,
3212,Manatu,
3213,Pandu,
3214,Panki,
3215,Patan,
3216,Satbarwa,
6644,Mohamadganj,
6645,Pipra,
6646,Nawdiha Bazar,
6647,Untari Road,
6648,Nawa Bazar,
6649,Padwa,
6650,Tarhasi,
3174,Patratu,
3168,Gola,
3172,Mandu,
3175,Ramgarh,
6716,Chitarpur,
6717,Dulmi,
6639,Khelari,
3217,Angara,
3219,Bero,
3220,Bundu,
3221,Burmu,
3222,Chanho,
3223,Kanke,
3226,Lapung,
3227,Mandar,
3229,Namkum,
3230,Ormanjhi,
3232,Ratu,
3233,Silli,
3234,Sonahatu,
3235,Tamar,
6636,Nagri,
6637,Itki,
6638,Rahe,
3237,Barhait,
3238,Barharwa,
3239,Borio,
3240,Mandro,
3241,Pathna,
3242,Rajmahal,
3243,Sahibganj,
3244,Taljhari,
3245,Udhwa,
3246,Chandil,
3247,Gamharia,
3248,Ichagarh,
3249,Kharsawan,
3250,Kuchai,
3251,Nimdih,
3252,Rajnagar,
3253,Seraikella,
6652,Kukru,
3254,Bano,
3255,Bolba,
3256,Jaldega,
3257,Kolebira,
3258,Kurdeg,
3259,Simdega,
3260,Thethaitanger,
6611,Pakartanr,
6612,Kersai,
6613,Bansjore,
6610,Gudri,
3262,Chaibasa,
3264,Goelkera,
3267,Khuntpani,
3273,Sonua,
3261,Bandgaon,
3263,Chakradharpur,
3265,Jagannathpur,
3266,Jhinkpani,
3268,Kumardungi,
3269,Manjhari,
3270,Manjhgaon,
3271,Manoharpur,
3272,Noamundi,
3274,Tantnagar,
3275,Tonto,
6608,Hatgamharia,
6609,Anandpur,
