sscode,districtCode,districtNameEnglish,districtNameLocal,census2001Code,census2011Code
,322,Bokaro,बोकारो,13,355
,323,Chatra,चतरा,03,347
,324,Deoghar,देवघर,07,350
,325,Dhanbad,धनबाद,12,354
,326,Dumka,दुमका,11,362
,327,East Singhbum,पूर्वी सिंघभूम,18,357
,328,Garhwa,गढ़वा,01,346
,329,Giridih,गिरिडीह,06,349
,330,Godda,गोड्डा,08,351
,331,Gumla,गुमला,16,366
,332,Hazaribagh,हज़ारीबाग,04,360
,333,Jamtara,जामताड़ा,20,363
,606,Khunti,खूंटी,14,365
,334,Koderma,कोडरमा,05,348
,335,Latehar,लातेहार,02,359
,336,Lohardaga,लोहरदगा,15,356
,337,Pakur,पाकुर,10,353
,338,Palamu,पलामू,02,358
,607,Ramgarh,रामगढ़,04,361
,339,Ranchi,रांची,14,364
,340,Sahebganj,साहेबगंज,09,352
,341,Saraikela Kharsawan,सरायकेला खरसावां,17,369
,342,Simdega,सिमडेगा,21,367
,343,West Singhbhum,पश्चिमी सिंघभूम,17,368
