localBodyCode,localBodyNameEnglish,localBodyNameLocal,blockCode
245380,Alargo,ALARGO,6626
111315,Bandio,BANDIO,6626
245381,Chandrapura,CHANDRAPURA,6626
111130,Dugda East,DUGDA EAST,6626
111131,Dugda North,DUGDA NORTH,6626
111132,Dugda South,DUGDA SOUTH,6626
111133,Dugda West,DUGDA WEST,6626
111134,Ghatiyari,GHATIYARI,6626
111145,Karma Tand,KARMA TAND,6626
111147,Kurumba,KURUMBA,6626
111333,Narri,NARRI,6626
111336,Paplo,PAPLO,6626
111148,Rangamati East,RANGAMATI EAST,6626
111149,Rangamati South,RANGAMATI SOUTH,6626
111150,Rangamati West,RANGAMATI WEST,6626
111151,Sijua,SIJUA,6626
111343,Taranari,TARANARI,6626
111344,Taranga,TARANGA,6626
111152,Tarmi,TARMI,6626
111323,Telo East,TELO EAST,6626
111330,Telo Middle,TELO MIDDLE,6626
111345,Telo West,TELO WEST,6626
111153,Turio,TURIO,6626
111122,Armo,ARMO,3064
111123,Baidhkaro East,BADHKARO EAST,3064
111129,Baidhkaro West,BAIDHKARO WEST,3064
111124,Bermo East,BERMO EAST,3064
111125,Bermo South,BERMO SOUTH,3064
111126,Bermo West,BERMO WEST,3064
111127,Bodiya North,BODIYA NORTH,3064
111128,Bodiya South,BODIYA SOUTH,3064
111135,Govindpur A,GOVINDPUR  A,3064
111136,Govindpur B,GOVINDPUR  B,3064
111137,Govindpur C,GOVINDPUR  C,3064
111138,Govindpur D,GOVINDPUR  D,3064
111139,Govindpur E,GOVINDPUR  E,3064
111140,Govindpur F,GOVINDPUR  F,3064
111141,Jarangdih North,JARANGDIH NORTH,3064
111142,Jarangdih South,JARANGDIH SOUTH,3064
111143,Jaridih East,JARIDIH EAST,3064
111144,Jaridih West,JARIDIH WEST,3064
111146,Kurpaniya,KURPANIYA,3064
111192,Alkusha,ALKUSHA,3066
111241,Babudih,BABUDIH,3066
111195,Badhadih,BADHADIH,3066
111193,Barpokhar,BARPOKHAR,3066
111197,Basgora East,BASGORA EAST,3066
111198,Basgora West,BASGORA WEST,3066
111194,Belunja,BELUNJA,3066
111199,Bhandro,BHANDRO,3066
111200,Bhatua,BHATUA,3066
111201,Bijuliya,BIJULIYA,3066
111202,Brahman Dawarika,BRAHMAN DAWARIKA,3066
111205,Chainpur,CHAINPUR,3066
111203,Chakuliya,CHAKULIYA,3066
111204,Chandaha,CHANDAHA,3066
248056,Chas,चास,3066
111206,Ghatiyali East,GHATIYALI EAST,3066
111207,Ghatiyali West,GHATIYALI WEST,3066
111209,Godawali North,GODAWALI NORTH,3066
111210,Godawali South,GODAWALI SOUTH,3066
111208,Gopalpur,GOPALPUR,3066
111211,Hasabatu East,HASABATU EAST,3066
111212,Hasabatu West,HASABATU WEST,3066
111213,Kalapathar,KALAPATHAR,3066
245382,Kanari West,KANARI WEST,3066
111215,Kandra,KANDRA,3066
111216,Karhariya,KARHARIYA,3066
111217,Kashijariya,KASHIJARIYA,3066
111218,Khamar Bendi,KHAMAR BENDI,3066
111219,Kolbendi,KOLBENDI,3066
111220,Kumardhaga,KUMARDHAGA,3066
111221,Kumhari,KUMHARI,3066
111222,Kura,KURA,3066
111238,Madhuniya,MADHUNIYA,3066
111223,Mango,MANGO,3066
111224,Maraphari Punarwas,MARAPHARI PUNARWAS,3066
111225,Mirdha,MIRDHA,3066
111226,Narayanpur,NARAYANPUR,3066
111227,Narkera Punarwas,NARKERA PUNARWAS,3066
111228,Nawadih,NAWADIH,3066
111229,Pindrajora,PINDRAJORA,3066
111230,Pokhanna,POKHANNA,3066
111231,Pundru,PUNDRU,3066
111232,Pupunki,PUPUNKI,3066
245383,Radhanagar,RADHANAGAR,3066
111233,Ranipokar,RANIPOKAR,3066
111234,Ritudih,RITUDIH,3066
111235,Sardaha,SARDAHA,3066
111237,Satanpur,SATANPUR,3066
111239,Sijua,SIJUA,3066
111240,Sonabad,SONABAD,3066
111236,Sunta,SUNTA,3066
111242,Tupra,TUPRA,3066
111243,Turidih,TURIDIH,3066
111244,Ukrid,UKRID,3066
111245,Ulgora,ULGORA,3066
111314,Ahardih,AHARDIH,3070
111326,Baradih,BARADIH,3070
111316,Barai,BARAI,3070
111317,Bhalmara,BHALMARA,3070
111318,Bhendra,BHENDRA,3070
111319,Birni,BIRNI,3070
111320,Chapri,CHAPRI,3070
111321,Chirudih,CHIRUDIH,3070
111322,Dahiyari,DAHIYARI,3070
111324,Goniyato,GONIYATO,3070
111325,Gunjardih,GUNJARDIH,3070
111327,Kacho,KACHO,3070
111328,Kanjkiro,KANJKIRO,3070
111329,Kharpito,KHARPITO,3070
111331,Munga Rangamati,MUNGA RANGAMATI,3070
111332,Narayanpur,NARAYANPUR,3070
111334,Nawadih,NAWADIH,3070
111335,Palamu,PALAMU,3070
111337,Parsabni,PARSABNI,3070
111338,Penk,PENK,3070
111339,Pokriya,POKRIYA,3070
111340,Potso,POTSO,3070
111341,Sahariya,SAHARIYA,3070
111342,Surhe,SURHE,3070
111157,Adita,ADITA,3065
111154,Adrakudi,ADRAKUDI,3065
111155,Amainagar,AMAINAGAR,3065
111156,Amlabad,AMLABAD,3065
111159,Badajor,BADAJOR,3065
111158,Bagula,BAGULA,3065
111160,Bastora,BASTORA,3065
111161,Batbinor,BATBINOR,3065
111162,Bhojudih East,BHOJUDIH EAST,3065
111163,Bhojudih West,BHOJUDIH WEST,3065
111164,Boriyadih,BORIYADIH,3065
111166,Chandankiyarieast,CHANDANKIYARI EAST,3065
111167,Chandankiyariwest,CHANDANKIYARI WEST,3065
111165,Chandra,CHANDRA,3065
111168,Damudih,DAMUDIH,3065
111169,Devgram,DEVGRAM,3065
111170,Fusro,FUSRO,3065
111171,Gamhariya,GAMHARIYA,3065
111172,Jhalbarda,JHALBARDA,3065
111173,Kalikapur,KALIKAPUR,3065
111174,Kherabera,KHERABERA,3065
111175,Kumirdoba,KUMIRDOBA,3065
111176,Kusumkiyari,KUSUMKIYARI,3065
111177,Laghla,LAGHLA,3065
111178,Lalpur,LALPUR,3065
111179,Lanka,LANKA,3065
111180,Madra,MADRA,3065
111181,Mahal East,MAHAL EAST,3065
111182,Mahal West,MAHAL WEST,3065
111183,Nawdiha,NAWDIHA,3065
111184,Nayawon,NAYAWON,3065
111185,Polkiri,POLKIRI,3065
111186,Sabra,SABRA,3065
111187,Saharjori,SAHARJORI,3065
111188,Shiv Babudih,SHIV BABUDIH,3065
111189,Silfor,SILFOR,3065
111190,Simuliya,SIMULIYA,3065
111191,Siyaljori,SIYALJORI,3065
111246,Badki Chidri,BADKI CHIDRI,3067
111247,Badki Sidhawara,BADKI SIDHAWARA,3067
111249,Bandh,BANDH,3067
111250,Baridari,BARIDARI,3067
111251,Barki Punu,BARKI PUNU,3067
111252,Chatrochatti,CHATROCHATTI,3067
111253,Chutte,CHUTTE,3067
111254,Dhawaiya,DHAWAIYA,3067
111255,Gomia,GOMIA,3067
111256,Hazari,HAZARI,3067
111257,Hosir East,HOSIR EAST,3067
111258,Hosir West,HOSIR WEST,3067
111259,Hurlung,HURLUNG,3067
111260,Jhirke,JHIRKE,3067
111261,Kander,KANDER,3067
111262,Kari Khurd,KARI KHURD,3067
111263,Kathara,KATHARA,3067
111264,Khamhara,KHAMHARA,3067
111265,Kodwa Tand,KODWA TAND,3067
111266,Kunda,KUNDA,3067
111267,Lalpaniya,LALPANIYA,3067
111268,Lodhi,LODHI,3067
111269,Mahua Tand,MAHUA TAND,3067
111270,Pachmo,PACHMO,3067
111248,Palihaari Gurudih,PALIHAARI GURUDIH,3067
111271,Saram East,SARAM EAST,3067
111272,Saram West,SARAM WEST,3067
111273,Sarhachiya,SARHACHIYA,3067
111274,Sasbera East,SASBERA EAST,3067
111275,Sasbera West,SASBERA WEST,3067
