sscode,subdistrictCode,subdistrictNameEnglish,census2001Code,census2011Code,subdistrictNameLocal
,2590,Bermo,2   ,02590,
,2596,Chandankiyari,8   ,02596,
,2589,Chandrapura,0   ,02589,
,2595,Chas,7   ,02595,
,2591,Gomia,3   ,02591,गोमिया 
,2594,Jaridih,6   ,02594,
,2593,Kasmar,5   ,02593,
,2588,Nawadih,1   ,02588,
,2592,Peterwar,0004,02592,
,2518,Chatra,5   ,02518,चतरा
,2522,Gidhaur,7   ,02522,गिद्धौर
,2520,Itkhori,6   ,02520,ईटखोरी
,2519,Kanha Chatti,0   ,02519,कान्हाचट्टी
,2516,Kunda,3   ,02516,कुंदा
,2517,Lawalaung,4   ,02517,लावालौंग
,2521,Mayur Hand,0   ,02521,मयुरहंड
,2523,Pathalgora,8   ,02523,पथलगड्डा
,2515,Pratappur,2   ,02515,प्रतापपुर
,2514,Shaligram Ram Narayanpur(Hunterganj),0   ,02514,शालिग्राम राम नारायणपुर उर्फ हंटरगंज
,2524,Simaria,9   ,02524,सिमरिया
,2525,Tandwa,10  ,02525,टंडवा
,2545,Deoghar,1   ,02545,देवघर
,2549,Devipur,4   ,02549,देवीपुर
,2552,Karon,6   ,02552,करौं
,2550,Madhupur,5   ,02550,मधुपुर
,2551,Margo Munda,0   ,02551,मार्गोमुंडा
,2546,Mohanpur,2   ,02546,मोहनपुर
,2554,Palojori,8   ,02554,पालोजोरी
,2553,Sarath,7   ,02553,सारठ
,2547,Sarwan,3   ,02547,सारवां
,2548,Sona Rai Tharhi,0   ,02548,सोनारायठारी
,2582,Baghmara-Cum-Katras,3   ,02582,बाघमारा
,2586,Baliapur,7   ,02586,बलियापुर
,2584,Dhanbad-Cum-Kenduadih-Cum-Jagata,5   ,02584,धनबाद
,6201,Egarkund,,00000,एगारकुंड
,2583,Gobindpur,4   ,02583,गोविंदपुर
,2585,Jharia-Cum-Jorapokhar-Cum-Sindri,0   ,02585,झरिया
,6202,Kariasol,,00000,करियासोल
,2587,Nirsa-Cum-Chirkunda,8   ,02587,निरसा
,2580,Purbi Tundi*,0   ,02580,पूर्वी टुंडी
,2581,Topchanchi,2   ,02581,तोपचांची
,2579,Tundi,1   ,02579,टुंडी
,2673,Dumka,8   ,02673,
,2669,Gopikandar,4   ,02669,
,2674,Jama,9   ,02674,
,2667,Jarmundi,2   ,02667,
,2670,Kathikund,5   ,02670,
,2675,Masalia,10  ,02675,
,2668,Ramgarh,14  ,02668,
,2672,Ranishwar,7   ,02672,
,2666,Saraiyahat,1   ,02666,
,2671,Shikaripara,6   ,02671,
,2614,Baharagora,9   ,02614,
,2605,Boram,0   ,02605,
,2613,Chakulia,8   ,02613,
,2611,Dhalbhumgarh,7   ,02611,
,2610,Dumaria,6   ,02610,
,2607,Ghatshila,3   ,02607,
,2606,Golmuri-Cum-Jugsalai,2   ,02606,
,2612,Gurbandha,0   ,02612,
,2609,Musabani,5   ,02609,
,2604,Patamda,1   ,02604,
,2608,Potka,4   ,02608,
,2500,Bardiha,0   ,02500,बरडीहा
,6329,Bargarh,,00000,
,2513,Bhandaria,14  ,02513,भंडरिया
,2496,Bhawnathpur,2   ,02496,भवनाथपुर
,2502,Bishunpura,0   ,02502,बिशुनपुरा
,2507,Chinia,9   ,02507,चिनिया
,2510,Danda,0   ,02510,डंडा
,2506,Dandai,8   ,02506,दंडई
,2504,Dhurki,7   ,02504,धुरकी
,2509,Garhwa,11  ,02509,गढ़वा
,2498,Kandi,3   ,02498,कांडी
,2497,Ketar*,0   ,02497,केतार
,2495,Kharaundhi,1   ,02495,खरौंधी
,2499,Majhiaon,4   ,02499,मझिआंव
,2508,Meral (Pipra Kalan),10  ,02508,मेराल(पिपरा कलां)
,2503,Nagaruntari,6   ,02503,नगरउंटारी
,2512,Ramkanda,13  ,02512,रामकंडा
,2501,Ramna,5   ,02501,रमना
,2511,Ranka,12  ,02511,रंका
,2505,Sagma,0   ,02505,सगमा
,2541,Bagodar,10  ,02541,बगोदर
,2537,Bengabad,6   ,02537,बेंगाबाद
,2540,Birni,9   ,02540,बिरनी
,2534,Deori,3   ,02534,देवरी
,2535,Dhanwar,4   ,02535,धनवार
,2543,Dumri,11  ,02543,डुमरी
,2538,Gandey,7   ,02538,गाण्डेय
,2532,Gawan,1   ,02532,गावां
,2539,Giridih,8   ,02539,गिरिडीह
,2536,Jamua,5   ,02536,जमुआ
,2544,Pirtanr,12  ,02544,पीरटाँड़
,2542,Suriya,0   ,02542,सरिया
,2533,Tisri,2   ,02533,तिसरी
,2560,Bashant Rai*,0   ,02560,
,2557,Boarijor,3   ,02557,
,2561,Godda,6   ,02561,
,2558,Mahagama,4   ,02558,
,2555,Meherma,1   ,02555,
,2559,Pathargama,5   ,02559,
,2562,Poreyahat,7   ,02562,
,2563,Sundarpahari,0   ,02563,
,2556,Thakurgangti,0   ,02556,
,2715,Albert Ekka(Jari),0   ,02715,
,2711,Basia,6   ,02711,
,2709,Bharno,4   ,02709,BHARNO
,2706,Bishunpur,1   ,02706,
,2713,Chainpur,13  ,02713,
,2714,Dumri,11  ,02714,
,2707,Ghaghra,2   ,02707,
,2712,Gumla,7   ,02712,
,2710,Kamdara,5   ,02710,
,2717,Palkot,11  ,02717,
,2716,Raidih,10  ,02716,
,2708,Sisai,3   ,02708,
,2645,Barhi,2   ,02645,
,2657,Barkagaon,10  ,02657,
,2650,Barkatha,5   ,02650,
,2652,Bishungarh,6   ,02652,
,2651,Chalkusa,0   ,02651,
,2644,Chauparan,1   ,02644,
,2658,Churchu,12  ,02658,
,2659,Dadi,0   ,02659,
,2649,Daru,0   ,02649,
,2653,Hazaribag,7   ,02653,
,2647,Ichak,4   ,02647,
,2655,Katamdag,0   ,02655,
,2654,Katkamsandi,8   ,02654,
,2656,Keredari,9   ,02656,
,2646,Padma,3   ,02646,
,2648,Tati Jhariya,0   ,02648,
,2680,Fatehpur,0   ,02680,फतेहपुर
,2678,Jamtara,12  ,02678,जामताड़ा
,2677,Karma Tanr Vidyasagar*,0   ,02677,करमाटांड विद्यासागर
,2681,Kundhit,14  ,02681,कुंडहित
,2679,Nala,13  ,02679,नाला
,2676,Narayanpur,11  ,02676,नारायणपुर
,2705,Erki(Tamar Ii),0   ,02705,
,2700,Karra,13  ,02700,
,2704,Khunti,17  ,02704,
,2703,Murhu,16  ,02703,
,2702,Rania,15  ,02702,
,2701,Torpa,14  ,02701,
,2530,Chandwara,0   ,02530,चंदवारा
,2528,Domchanch,0   ,02528,डोमचांच
,2529,Jainagar,3   ,02529,जयनगर
,2527,Koderma,2   ,02527,कोडरमा
