reference_id,catalog_id,filename,url,sha256,bytes,rows_parsed
PC11_PCA-TV-2001,6537,DDW_PCA2001_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6537/download/9614/DDW_PCA2001_2011_MDDS%20with%20UI.xlsx,c5590b608687e1bf1d53774ebc3e3c34c8c52d6a2f3acdd1b3af766c06074cc5,495749,891
PC11_PCA-TV-2002,6538,DDW_PCA2002_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6538/download/9615/DDW_PCA2002_2011_MDDS%20with%20UI.xlsx,9a627b681e284d1774737bf6a024902eb1ff4e3cafce49027ddc1238a78653e8,722807,1473
PC11_PCA-TV-2003,6539,DDW_PCA2003_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6539/download/9616/DDW_PCA2003_2011_MDDS%20with%20UI.xlsx,8d6d5033a86b9c63f0cd35059093178a773dcdc3468db07bf000df8ae22bfe64,358994,704
PC11_PCA-TV-2004,6540,DDW_PCA2004_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6540/download/9617/DDW_PCA2004_2011_MDDS%20with%20UI.xlsx,9c55f402a7f23d394ebccc55bd588133683a41aa5402ae02ee8b3af3f3143a6c,1359416,2761
PC11_PCA-TV-2005,6541,DDW_PCA2005_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6541/download/9618/DDW_PCA2005_2011_MDDS%20with%20UI.xlsx,b5ed0d6469e74fa854edc3b0f5132ca0d687709644eea4f1b813c6c6e6783e01,1264397,2664
PC11_PCA-TV-2006,6542,DDW_PCA2006_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6542/download/9619/DDW_PCA2006_2011_MDDS%20with%20UI.xlsx,233f8d4b8946434b303592cafc0cd19d46b900e71326726caeb6d2148d8ddbdd,1057764,2305
PC11_PCA-TV-2007,6543,DDW_PCA2007_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6543/download/9620/DDW_PCA2007_2011_MDDS%20with%20UI.xlsx,d2d77c749a22f15c9c88c5e1974af022d66997bcaeec46e004520f859ae73264,840536,1821
PC11_PCA-TV-2008,6544,DDW_PCA2008_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6544/download/9621/DDW_PCA2008_2011_MDDS%20with%20UI.xlsx,5776ff0bc55353d028fd25d42f0d961bced780d3367acd52ca49f8c1e5d1fc3f,617129,1251
PC11_PCA-TV-2009,6545,DDW_PCA2009_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6545/download/9622/DDW_PCA2009_2011_MDDS%20with%20UI.xlsx,74ed38fad75a7391672c9209f3c78b816d324799510bb0703bb3dce3583be2f1,667507,1205
PC11_PCA-TV-2010,6546,DDW_PCA2010_2011_MDDS with UI.xlsx,https://censusindia.gov.in/nada/index.php/catalog/6546/download/9623/DDW_PCA2010_2011_MDDS%20with%20UI.xlsx,cfd39262f3ee56e0169c493bc0154d835c7ba3690ee1c1e260b86d2a7ed4d066,404186,662
