place_id,place_type,name,parent_place_id,division,district_code,district,subdivision,block,source_id,official_code_status,record_status
JH-STATE-20,state,Jharkhand,IND,,,,,,JH_STATE_PROFILE_2026,state_census_code_20,verified_snapshot
JH-DIV-PALAMU,division,Palamu,JH-STATE-20,Palamu,,,,,JH_STATE_PROFILE_2026,official_name_no_code_ingested,verified_snapshot
JH-DIV-NORTH-CHOTANAGPUR,division,North Chotanagpur,JH-STATE-20,North Chotanagpur,,,,,JH_STATE_PROFILE_2026,official_name_no_code_ingested,verified_snapshot
JH-DIV-SOUTH-CHOTANAGPUR,division,South Chotanagpur,JH-STATE-20,South Chotanagpur,,,,,JH_STATE_PROFILE_2026,official_name_no_code_ingested,verified_snapshot
JH-DIV-KOLHAN,division,Kolhan,JH-STATE-20,Kolhan,,,,,JH_STATE_PROFILE_2026,official_name_no_code_ingested,verified_snapshot
JH-DIV-SANTHAL-PARGANA,division,Santhal Pargana,JH-STATE-20,Santhal Pargana,,,,,JH_STATE_PROFILE_2026,official_name_no_code_ingested,verified_snapshot
JH-DIST-346,district,Garhwa,JH-DIV-PALAMU,Palamu,346,Garhwa,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-347,district,Chatra,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,347,Chatra,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-348,district,Koderma,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,348,Koderma,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-349,district,Giridih,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,349,Giridih,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-350,district,Deoghar,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,350,Deoghar,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-351,district,Godda,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,351,Godda,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-352,district,Sahibganj,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,352,Sahibganj,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-353,district,Pakur,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,353,Pakur,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-354,district,Dumka,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,354,Dumka,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-355,district,Bokaro,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,355,Bokaro,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-356,district,Dhanbad,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,356,Dhanbad,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-357,district,East Singhbhum,JH-DIV-KOLHAN,Kolhan,357,East Singhbhum,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-358,district,Palamu,JH-DIV-PALAMU,Palamu,358,Palamu,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-359,district,Latehar,JH-DIV-PALAMU,Palamu,359,Latehar,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-360,district,Hazaribagh,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,360,Hazaribagh,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-361,district,Ramgarh,JH-DIV-NORTH-CHOTANAGPUR,North Chotanagpur,361,Ramgarh,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-362,district,Ranchi,JH-DIV-SOUTH-CHOTANAGPUR,South Chotanagpur,362,Ranchi,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-363,district,Khunti,JH-DIV-SOUTH-CHOTANAGPUR,South Chotanagpur,363,Khunti,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-364,district,Gumla,JH-DIV-SOUTH-CHOTANAGPUR,South Chotanagpur,364,Gumla,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-365,district,Simdega,JH-DIV-SOUTH-CHOTANAGPUR,South Chotanagpur,365,Simdega,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-366,district,West Singhbhum,JH-DIV-KOLHAN,Kolhan,366,West Singhbhum,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-367,district,Saraikela-Kharsawan,JH-DIV-KOLHAN,Kolhan,367,Saraikela-Kharsawan,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-368,district,Jamtara,JH-DIV-SANTHAL-PARGANA,Santhal Pargana,368,Jamtara,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-DIST-369,district,Lohardaga,JH-DIV-SOUTH-CHOTANAGPUR,South Chotanagpur,369,Lohardaga,,,CENSUS_PCA_TV_2011,census_2011_code,verified_snapshot
JH-SUBDIV-HAZARIBAGH-HAZARIBAGH,subdivision,Hazaribagh,JH-DIST-360,North Chotanagpur,360,Hazaribagh,Hazaribagh,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
JH-SUBDIV-HAZARIBAGH-BARHI,subdivision,Barhi,JH-DIST-360,North Chotanagpur,360,Hazaribagh,Barhi,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
JH-SUBDIV-DHANBAD-DHANBAD,subdivision,Dhanbad,JH-DIST-356,North Chotanagpur,356,Dhanbad,Dhanbad,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
JH-SUBDIV-GIRIDIH-GIRIDIH,subdivision,Giridih,JH-DIST-349,North Chotanagpur,349,Giridih,Giridih,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
JH-SUBDIV-GIRIDIH-KHORIMAHUA,subdivision,Khorimahua,JH-DIST-349,North Chotanagpur,349,Giridih,Khorimahua,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
JH-SUBDIV-GIRIDIH-DUMRI,subdivision,Dumri,JH-DIST-349,North Chotanagpur,349,Giridih,Dumri,,JH_ADMIN_DIVISION_SNAPSHOT,official_name_no_code_ingested,verified_snapshot
