variable_id,module_id,variable_name,display_name,description,definition,unit,datatype,geographic_level,temporal_level,source_id,reference_year,observation_type,quality_class,citation_key
geo.place_id,core_geography,place_id,JLA Place ID,Stable JLA identifier for a geographic entity.,JLA-controlled identifier; it never replaces an official code.,,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,derived_identifier,A,jh_state_profile_2026
geo.place_type,core_geography,place_type,Place type,Administrative level represented by the row.,"One of state, division, district, subdivision or block.",,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,derived_classification,A,jh_state_profile_2026
geo.name,core_geography,name,Place name,Published geographic entity name.,Display name transcribed from the cited official source.,,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,observed,A,jh_state_profile_2026
geo.parent_place_id,core_geography,parent_place_id,Parent JLA place ID,JLA hierarchy parent.,Derived link to the containing JLA place entity.,,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,derived_relationship,A,jh_state_profile_2026
geo.district_code,core_geography,district_code,Census 2011 district code,Census 2011 district location code.,District code in the Census 2011 geography.,code,string,district,2011,CENSUS_BASIC_2011,2011,observed,A,census_basic_2011
geo.official_code_status,core_geography,official_code_status,Official-code status,Describes whether an official code has been ingested.,Prevents JLA-derived identifiers from being mistaken for LGD/Census codes.,,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,derived_quality_flag,A,jh_state_profile_2026
geo.record_status,core_geography,record_status,Record status,Evidence status for the place row.,Current release uses verified_snapshot for source-backed administrative rows.,,string,all,versioned,JH_STATE_PROFILE_2026,current snapshot,derived_quality_flag,A,jh_state_profile_2026
geo.panchayat_count,core_geography,panchayat_count,Panchayat count,Source-reported panchayat count for a block.,Snapshot count as reported by the cited official divisional table; missing is not zero.,count,integer,block,source snapshot,JH_AH_NORTH_ADMIN,2026 access snapshot,observed_source_snapshot,A,jh_ah_north_admin
geo.village_count,core_geography,village_count,Village count,Source-reported village count for a block.,Snapshot count as reported by the cited official block/divisional source.,count,integer,block,source snapshot,JH_AH_NORTH_ADMIN,2026 access snapshot,observed_source_snapshot,A,jh_ah_north_admin
geo.reconciliation_status,core_geography,status,Reconciliation status,Status assigned when two official snapshots disagree.,Values are preserved rather than silently reconciled.,,string,state,source comparison,JH_AT_GLANCE,mixed,derived_audit,A,jh_at_glance
geo.pca_ingestion_status,core_geography,ingestion_status,PCA ingestion status,Whether an official Census PCA catalog/raw file has been ingested.,Catalog verification is distinct from raw-record ingestion.,,string,district,2011,CENSUS_PCA_TV_2011,2011,derived_audit,A,census_pca_tv_2011
fact.population_total,core_geography,value_numeric,Total population,Census 2011 total population,Census 2011 total population,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.households_total,core_geography,value_numeric,Households,Census 2011 households,Census 2011 households,households,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.population_age_0_6,core_geography,value_numeric,Population age 0–6,Census 2011 population age 0–6,Census 2011 population age 0–6,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.sc_population,core_geography,value_numeric,Scheduled Caste population,Census 2011 SC population,Census 2011 SC population,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.sc_share,core_geography,value_numeric,Scheduled Caste share,SC population share,SC population share,percent,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.st_population,core_geography,value_numeric,Scheduled Tribe population,Census 2011 ST population,Census 2011 ST population,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.st_share,core_geography,value_numeric,Scheduled Tribe share,ST population share,ST population share,percent,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.workers_total,core_geography,value_numeric,Workers,Census 2011 workers,Census 2011 workers,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.literates_total,core_geography,value_numeric,Literates,Census 2011 literates,Census 2011 literates,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.literacy_rate,core_geography,value_numeric,Literacy rate,Census 2011 literacy rate,Census 2011 literacy rate,percent,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.male_literacy_rate,core_geography,value_numeric,Male literacy rate,Census 2011 male literacy rate,Census 2011 male literacy rate,percent,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.female_literacy_rate,core_geography,value_numeric,Female literacy rate,Census 2011 female literacy rate,Census 2011 female literacy rate,percent,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.sex_ratio,core_geography,value_numeric,Sex ratio,"Females per 1,000 males","Females per 1,000 males",females_per_1000_males,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.population_density,core_geography,value_numeric,Population density,Persons per square kilometre,Persons per square kilometre,persons_per_sq_km,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.cultivators_total,core_geography,value_numeric,Cultivators,Census 2011 cultivators,Census 2011 cultivators,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.agricultural_labourers_total,core_geography,value_numeric,Agricultural labourers,Census 2011 agricultural labourers,Census 2011 agricultural labourers,persons,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
fact.area,core_geography,value_numeric,Area,Jharkhand area,Jharkhand area,sq_km,number,state,2011,JH_AT_GLANCE,2011,observed,A,jh_at_glance
